intent,segment,url,title,listed_date,listed_time,scrape_datetime,agent_name,agent_id,listing_id,snapshot_path
sale,residential,https://www.iproperty.com.my/property/kepong/mizumi-residences/ol-sale-107078466/,"Lake View , Well Maintain , Call For Viewing",,,2025-10-03 13:03:09,,,107078466,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/tanjung-tokong/city-of-dreams/sale-102561406/,Serviced residence for Sale,,,2025-10-03 13:03:09,,,102561406,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/kepong/ol-sale-200199968/,Renovated 2.5sty Link House. Gated Guarded,,,2025-10-03 13:03:09,,,200199968,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/new-property/property/semenyih/m-legasi/new-6933/,M Legasi,,,2025-10-03 13:03:09,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/damansara-perdana/sale-102250668/,Bungalow for Sale,,,2025-10-03 13:03:09,,,102250668,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/bandar-sungai-long/sale-200383311/,Fully Renovated Below Market Price,,,2025-10-03 13:03:09,,,200383311,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/new-property/property/batu-maung/m-zenni/new-6932/,M Zenni,,,2025-10-03 13:03:09,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/rawang/sale-107991516/,New Launch Freehold Low Down Payment,,,2025-10-03 13:03:09,,,107991516,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/ara-damansara/the-potpourri/sale-108445279/,Spacious 3 Bedrooms,,,2025-10-03 13:03:09,,,108445279,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/rawang/sale-200067935/,"0% Downpayment, 5 mins to Aeon, 5 mins to school, 8 mins to Tol",,,2025-10-03 13:03:09,,,200067935,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/new-property/property/nilai/pristine-premier/new-6779/,Pristine Premier,,,2025-10-03 13:03:09,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/bandar-menjalara/sale-200073915/,"Bandar Menjalara , Freehold , Kitchen Extended",,,2025-10-03 13:03:09,,,200073915,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/rawang/sale-200070139/,New 22x70 Freehold Corner available Big Land,,,2025-10-03 13:03:09,,,200070139,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/kl-city-centre/hampshire-residences/sale-107036393/,Hampshire Residences,,,2025-10-03 13:03:09,,,107036393,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/new-property/property/rawang/d-templer-hilltop-residences/new-6929/,D'Templer Hilltop Residences,,,2025-10-03 13:03:09,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/tropicana/aetas-damansara/sale-200363528/,Type A3 Aetas Damansara @ Persiaran Tropicana Condo 2572sqft 2.xxm,,,2025-10-03 13:03:09,,,200363528,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/cheras/sale-108547163/,"Located at hill top with view, privacy and better breeze",,,2025-10-03 13:03:09,,,108547163,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/kl-city-centre/the-ritz-carlton-residences/sale-103439388/,Serviced residence for Sale,,,2025-10-03 13:03:09,,,103439388,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/damansara-heights/pavilion-damansara-heights/sale-103211511/,Direct Access Top Grade Lifestyle Shopping Mall and MRT Station,,,2025-10-03 13:03:09,,,103211511,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/rawang/sale-107423367/,2nd Park City Lake Side Pet Friendly Theme Park Residence,,,2025-10-03 13:03:09,,,107423367,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
sale,residential,https://www.iproperty.com.my/property/country-heights-damansara/sale-200362840/,Exclusive Country Heights Damansara Lots Available Now!,,,2025-10-03 13:03:09,,,200362840,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_residential_page_1.html.gz
