file,url,built_up,built_up_psf
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_107078466.0.html\adview_sale_residential_107078466.0.html,https://www.iproperty.com.my/property/kepong/mizumi-residences/ol-sale-107078466/,932 sq ft,590.13
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200363528.0.html\adview_sale_residential_200363528.0.html,https://www.iproperty.com.my/property/tropicana/aetas-damansara/sale-200363528/,2572 sq ft,1069.21
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_101018942.0.html.gz,https://www.iproperty.com.my/property/bangsar/rent-101018942/,7279 sq ft,7.56
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_101018943.0.html.gz,https://www.iproperty.com.my/property/bangsar/rent-101018943/,1800 sq ft,14.44
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_102050685.0.html.gz,https://www.iproperty.com.my/property/mid-valley-city/northpoint-mid-valley-city/rent-102050685/,10000 sq ft,4.50
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_102634625.0.html.gz,https://www.iproperty.com.my/property/mid-valley-city/the-boulevard/rent-102634625/,500 sq ft,7.20
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_104240091.0.html.gz,https://www.iproperty.com.my/property/ipoh/ol-rent-104240091/,152304 sq ft,1.58
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_104481356.0.html.gz,https://www.iproperty.com.my/property/shah-alam/shah-alam-strategic-location-detached-warehouse/rent-104481356/,20100 sq ft,2.49
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_106939104.0.html.gz,https://www.iproperty.com.my/property/port-klang-pelabuhan-klang/rent-106939104/,100000 sq ft,1.70
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_108237629.0.html.gz,https://www.iproperty.com.my/property/taman-tun-dr-ismail/shop-lot/rent-108237629/,3750 sq ft,3.17
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_200015915.0.html.gz,https://www.iproperty.com.my/property/balakong/taman-industri-selesa-jaya-balakong/rent-200015915/,10000 sq ft,2.50
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_200141568.0.html.gz,https://www.iproperty.com.my/property/petaling-jaya/rent-200141568/,10000 sq ft,3.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_200266181.0.html.gz,https://www.iproperty.com.my/property/petaling-jaya/vsq-v-square/rent-200266181/,8268 sq ft,4.51
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_200266575.0.html.gz,https://www.iproperty.com.my/property/shah-alam/ground-floor-high-traffic-limited-alam-budiman-shah-alam-bukit-raja-klang-setia-alam/rent-200266575/,1650 sq ft,2.73
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_200302819.0.html.gz,https://www.iproperty.com.my/property/port-klang-pelabuhan-klang/rent-200302819/,130000 sq ft,1.90
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_200337363.0.html.gz,https://www.iproperty.com.my/property/kl-city-centre/menara-hup-seng-grand-office-space/ol-rent-200337363/,1582 sq ft,6.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_200394120.0.html.gz,https://www.iproperty.com.my/property/kl-city-centre/mof-inc-tower-platinum-park-klcc-kl-city-centre-kuala-lumpur-klcc-kl-city-centre/rent-200394120/,5440 sq ft,7.50
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_rent_commercial_500053400.0.html.gz,https://www.iproperty.com.my/property/telok-panglima-garang/bandar-rimbayu/rent-500053400/,8325 sq ft,3.36
